Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Examples\ExampleLibrary\ExampleLibrary.csproj,File,Examples\ExampleLibrary\ExampleLibrary.csproj,,,System.Net.Requests 4.3.0,,,,,"System.Net.Requests, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Examples\ExampleLibrary\ExampleLibrary.csproj,File,Examples\ExampleLibrary\ExampleLibrary.csproj,,,System.Xml.XmlSerializer 4.3.0,,,,,"System.Xml.XmlSerializer, 4.3.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Examples\ExampleLibrary\ExampleLibrary.csproj,File,Examples\ExampleLibrary\ExampleLibrary.csproj,,,,,,,,Current target framework: netstandard2.0;net462;net6.0;net8.0 Recommended target framework: netstandard2.0;net462;net6.0;net8.0;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Examples\ExampleLibrary\ExampleLibrary.csproj,File,Examples\ExampleLibrary\Issues\Issues.cs,1968,12,M:System.TimeSpan.FromHours(System.Double),,,,,"var points = new[]                               {                                   new TimeSpanPoint { X = TimeSpan.FromSeconds(0), Y = TimeSpan.FromHours(1) },                                   new TimeSpanPoint { X = TimeSpan.FromSeconds(0), Y = TimeSpan.FromHours(1) }                               };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Examples\ExampleLibrary\ExampleLibrary.csproj,File,Examples\ExampleLibrary\Issues\Issues.cs,1968,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"var points = new[]                               {                                   new TimeSpanPoint { X = TimeSpan.FromSeconds(0), Y = TimeSpan.FromHours(1) },                                   new TimeSpanPoint { X = TimeSpan.FromSeconds(0), Y = TimeSpan.FromHours(1) }                               };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Examples\ExampleLibrary\ExampleLibrary.csproj,File,Examples\ExampleLibrary\Issues\Issues.cs,1968,12,M:System.TimeSpan.FromHours(System.Double),,,,,"var points = new[]                               {                                   new TimeSpanPoint { X = TimeSpan.FromSeconds(0), Y = TimeSpan.FromHours(1) },                                   new TimeSpanPoint { X = TimeSpan.FromSeconds(0), Y = TimeSpan.FromHours(1) }                               };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Examples\ExampleLibrary\ExampleLibrary.csproj,File,Examples\ExampleLibrary\Issues\Issues.cs,1968,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"var points = new[]                               {                                   new TimeSpanPoint { X = TimeSpan.FromSeconds(0), Y = TimeSpan.FromHours(1) },                                   new TimeSpanPoint { X = TimeSpan.FromSeconds(0), Y = TimeSpan.FromHours(1) }                               };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Examples\ExampleLibrary\ExampleLibrary.csproj,File,Examples\ExampleLibrary\Axes\AxisExamples.cs,1349,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,var timeSpan = TimeSpan.FromSeconds(1);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Examples\ExampleLibrary\ExampleLibrary.csproj,File,Examples\ExampleLibrary\Axes\DateTimeAxisExamples.cs,85,12,M:System.TimeSpan.FromHours(System.Double),,,,,"var timeZone = TimeZoneInfo.CreateCustomTimeZone(                  id: ""Example Time"",                  baseUtcOffset: TimeSpan.FromHours(-1),                  displayName: ""(UTC-01:00) Example Time"",                  standardDisplayName: ""Example Standard Time"",                  daylightDisplayName: ""Example Daylight Time"",                  new TimeZoneInfo.AdjustmentRule[]                  {                      TimeZoneInfo.AdjustmentRule.CreateAdjustmentRule(                          DateTime.MinValue.Date,                          DateTime.MaxValue.Date,                          daylightDelta: TimeSpan.FromHours(1),                          daylightTransitionStart: TimeZoneInfo.TransitionTime.CreateFixedDateRule(                              timeOfDay: new DateTime(1, 1, 1, 2, 0, 0),                              month: 3,                              day: 1),                          daylightTransitionEnd: TimeZoneInfo.TransitionTime.CreateFixedDateRule(                              timeOfDay: new DateTime(1, 1, 1, 2, 0, 0),                              month: 11,                              day: 1))                  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Examples\ExampleLibrary\ExampleLibrary.csproj,File,Examples\ExampleLibrary\Axes\DateTimeAxisExamples.cs,85,12,M:System.TimeSpan.FromHours(System.Double),,,,,"var timeZone = TimeZoneInfo.CreateCustomTimeZone(                  id: ""Example Time"",                  baseUtcOffset: TimeSpan.FromHours(-1),                  displayName: ""(UTC-01:00) Example Time"",                  standardDisplayName: ""Example Standard Time"",                  daylightDisplayName: ""Example Daylight Time"",                  new TimeZoneInfo.AdjustmentRule[]                  {                      TimeZoneInfo.AdjustmentRule.CreateAdjustmentRule(                          DateTime.MinValue.Date,                          DateTime.MaxValue.Date,                          daylightDelta: TimeSpan.FromHours(1),                          daylightTransitionStart: TimeZoneInfo.TransitionTime.CreateFixedDateRule(                              timeOfDay: new DateTime(1, 1, 1, 2, 0, 0),                              month: 3,                              day: 1),                          daylightTransitionEnd: TimeZoneInfo.TransitionTime.CreateFixedDateRule(                              timeOfDay: new DateTime(1, 1, 1, 2, 0, 0),                              month: 11,                              day: 1))                  });"
